id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,Listing_1,917,Host_939,Brooklyn,Neighborhood_92,40.606423086875424,-73.9285466659797,Entire home/apt,82,1,32,2019-01-01 00:00:00.000000000,4.188336692837767,1,45
2,Listing_2,613,Host_226,Staten Island,Neighborhood_142,40.5714936240763,-74.07820279161196,Entire home/apt,57,2,17,2019-01-01 01:44:51.178235647,2.731658258254246,6,88
3,Listing_3,160,Host_174,Queens,Neighborhood_196,40.738366708413004,-73.76253349201104,Private room,82,1,20,2019-01-01 03:29:42.356471294,3.3119478378706018,1,278
4,Listing_4,422,Host_959,Brooklyn,Neighborhood_102,40.71291109506433,-73.9041932514341,Entire home/apt,134,1,36,2019-01-01 05:14:33.534706941,2.024083502584877,4,272
5,Listing_5,607,Host_129,Manhattan,Neighborhood_71,40.750320941675156,-74.01873283030453,Private room,137,2,27,2019-01-01 06:59:24.712942588,1.4727984379645067,4,95
6,Listing_6,928,Host_187,Manhattan,Neighborhood_13,40.70069575873033,-73.99838860415936,Entire home/apt,279,1,25,2019-01-01 08:44:15.891178235,0.4262841483440951,3,239
7,Listing_7,207,Host_63,Manhattan,Neighborhood_145,40.71770432945284,-74.01743319776452,Private room,134,3,21,2019-01-01 10:29:07.069413882,5.188139924887239,4,65
8,Listing_8,313,Host_975,Bronx,Neighborhood_157,40.90820953903279,-73.92860206766389,Private room,58,3,32,2019-01-01 12:13:58.247649529,3.6625752938140916,0,238
9,Listing_9,432,Host_893,Queens,Neighborhood_81,40.777179701719895,-73.72787305570664,Entire home/apt,91,3,18,2019-01-01 13:58:49.425885177,5.896794955925505,5,217
10,Listing_10,926,Host_274,Queens,Neighborhood_100,40.710014298056,-73.78521912105184,Entire home/apt,144,1,26,2019-01-01 15:43:40.604120824,5.102711402429499,1,290
11,Listing_11,235,Host_598,Manhattan,Neighborhood_83,40.78936486490905,-73.9937634764664,Entire home/apt,136,1,26,2019-01-01 17:28:31.782356471,5.21779960331489,6,59
12,Listing_12,327,Host_210,Staten Island,Neighborhood_116,40.58440673150133,-74.23905649580779,Private room,100,1,16,2019-01-01 19:13:22.960592118,3.5870980840960387,4,261
13,Listing_13,934,Host_193,Bronx,Neighborhood_125,40.889332090027686,-73.82471027799083,Private room,79,2,26,2019-01-01 20:58:14.138827765,,5,200
14,Listing_14,479,Host_750,Manhattan,Neighborhood_2,40.72321339128002,-74.01991512617252,Private room,82,2,22,2019-01-01 22:43:05.317063412,5.480377572395258,0,83
15,Listing_15,428,Host_532,Manhattan,Neighborhood_62,40.79037672613991,-73.98311370941934,Entire home/apt,209,1,24,2019-01-02 00:27:56.495299059,0.7073174048954203,1,25
16,Listing_16,666,Host_952,Manhattan,Neighborhood_20,40.75249340842435,-73.97705832093439,Entire home/apt,387,2,30,2019-01-02 02:12:47.673534706,3.1028760561514144,2,232
17,Listing_17,100,Host_182,Manhattan,Neighborhood_184,40.752676890726946,-73.99149545901773,Entire home/apt,409,2,32,2019-01-02 03:57:38.851770354,5.141134428669864,2,161
18,Listing_18,238,Host_560,Brooklyn,Neighborhood_90,40.61872372514877,-74.04245053660651,Entire home/apt,133,1,23,2019-01-02 05:42:30.030006001,2.8344480859399255,6,238
19,Listing_19,107,Host_228,Brooklyn,Neighborhood_180,40.60222008830245,-73.91923400723446,Private room,56,2,26,2019-01-02 07:27:21.208241648,0.9940221249454981,4,73
20,Listing_20,858,Host_566,Manhattan,Neighborhood_153,40.768120925782156,-73.95230605969681,Private room,179,2,27,2019-01-02 09:12:12.386477295,,1,221
21,Listing_21,364,Host_614,Queens,Neighborhood_62,40.783449115883535,-73.75008355565396,Private room,118,3,19,2019-01-02 10:57:03.564712942,5.930324161259293,1,259
22,Listing_22,642,Host_89,Manhattan,Neighborhood_17,40.763559348200815,-73.99266511417679,Entire home/apt,225,2,31,2019-01-02 12:41:54.742948589,5.998555118947457,1,358
